arena,source,speaker,party,house,date,text_length,vader_label,vader_score,distilbert_label,distilbert_score,sentiment_label,sentiment_score,dominant_topic,dominant_frame,frame_utopian,frame_dystopian,frame_regulatory,frame_economic,frame_ethical,text_preview
parliament,ParlaMint,Raymond Collins,Labour,Lords,2020-01-07,9203,POSITIVE,0.8147,POSITIVE,0.6818116307258606,POSITIVE,0.7482558153629303,4,economic_industrial,3,2,4,5,3,"My Lords, I thank the Minister for his introduction to this element of the debate on the gracious Speech. Three months ago, the Government said that they would be at the forefront of solving, “the mos"
parliament,ParlaMint,George Robertson,Labour,Lords,2020-01-07,5234,POSITIVE,0.975,POSITIVE,0.9953914880752563,POSITIVE,0.9851957440376282,4,utopian_opportunity,1,1,0,1,0,"My Lords, it is a great pleasure to follow the maiden speech of the noble Baroness, Lady Ritchie of Downpatrick. We have listened with great interest and admiration, and in much agreement with what sh"
parliament,ParlaMint,Peter Derek Truscott,Non-affiliated,Lords,2020-01-07,1649,POSITIVE,0.9939,POSITIVE,0.908320426940918,POSITIVE,0.951110213470459,4,dystopian_risk,0,2,0,0,0,"I appreciate that. They cost £6.5 billion and that has been covered, but there will obviously be operational costs and we have yet to kit out the aircraft carriers with aircraft, which will bring an a"
parliament,ParlaMint,George Edward Howarth,Labour,Commons,2020-01-08,45183,POSITIVE,0.9826,POSITIVE,0.9924996495246887,POSITIVE,0.9875498247623444,3,regulatory_governance,3,2,8,8,5,With this it will be convenient to discuss: New clause 3—Future relationship: Customs Union and Single Market— “(1) It shall be an objective of the Government to secure an agreement with the European 
parliament,ParlaMint,James Philip Duddridge,Conservative,Commons,2020-01-08,2834,POSITIVE,0.9921,POSITIVE,0.9846909642219543,POSITIVE,0.9883954821109772,4,regulatory_governance,1,0,3,1,2,"Thank you, Sir George. I suspect that the Committee is encouraging me to make progress, and I will take the hint. I do ask Members to bear with me, because I am dealing with 21 new clauses and it is i"
parliament,ParlaMint,Gillian Keegan,Conservative,Commons,2020-01-09,5390,POSITIVE,0.9859,POSITIVE,0.9912213087081909,POSITIVE,0.9885606543540955,4,economic_industrial,5,2,4,9,1,"Yes, but it drives standards. There are three global standards across the world—one from the EU, one from the US and one from China—and they do not always have to be the same. They largely do align, b"
parliament,ParlaMint,Matthew Toby Perkins,Labour,Commons,2020-01-09,2151,POSITIVE,0.9773,NEGATIVE,-0.8966826796531677,NEUTRAL,0.04030866017341611,4,utopian_opportunity,1,0,0,0,0,"No, I am going to make some progress The hon. Member for Tiverton and Honiton (Neil Parish) claimed that it was the uncertainty that we had in the last Parliament that undermined our negotiations. Wel"
parliament,ParlaMint,Zahida Manzoor,Conservative,Lords,2020-01-09,424,POSITIVE,0.9716,POSITIVE,0.9973969459533691,POSITIVE,0.9844984729766846,4,unclassified,0,0,0,0,0,"My Lords, I welcome the Government scrapping car parking charges, which will support people who are caring. I also welcome the new money that will be put into the infrastructure project, which is vita"
parliament,ParlaMint,Nicola Blackwood,Conservative,Lords,2020-01-09,716,POSITIVE,0.9715,POSITIVE,0.9996167421340942,POSITIVE,0.9855583710670471,4,utopian_opportunity,2,0,0,1,0,I thank my noble friend for her question. She is absolutely right that we want to prevent people from going into hospital in the first place. We have made a £200 million investment in the AI lab to re
parliament,ParlaMint,Deborah Bull,Crossbench,Lords,2020-01-09,4627,POSITIVE,0.9878,NEGATIVE,-0.9841535687446594,NEUTRAL,0.0018232156276702938,4,economic_industrial,6,1,1,7,0,"My Lords, in the days following Her Majesty’s gracious Speech, noble Lords may have missed the announcement of 0.3% as UK statistic of the decade. It represents UK productivity’s average annual growth"
