debateId,debateTitle,debateDate,chamber,speakerName,party,memberId,text,wordCount,timecode
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Lord Clement-Jones,,3396,To ask His Majesty’s Government what strategy they have to ensure that the Sovereign AI Fund will support sovereign AI infrastructure and reduce public sector dependence on foreign hyperscale cloud providers.,31,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,"The Parliamentary Under-Secretary of State, Department for Business and Trade and Department for Science, Innovation and Technology (Baroness Lloyd of Effra)",Lab,5414,"The sovereign AI fund will support early-stage British start-ups at strategically important parts of the AI value chain, including AI infrastructure and compute. It is not designed to replace foreign cloud providers or achieve total UK self-sufficiency. Instead, the fund seeks to reduce our strategic dependence and ensure that the UK has a stake in a world economy transformed by AI.",61,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Lord Clement-Jones,LD,3396,"My Lords, the Secretary of State has said that Britain “must be an AI maker, not an AI taker ”,—[ Official Report , Commons, 18/3/26; col. 55WS.] and the sovereign AI unit’s own chair has promised British start-ups a guaranteed route to government contracts. But even the AI Minister, Mr Narayan, has admitted that procurement is too hard for British start-ups across government. So when will public procurement, in particular the G-Cloud framework, be reformed to match that promise? Will “sovereign AI” not remain just a slogan without that?",89,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Baroness Lloyd of Effra,Lab,5414,"Public procurement through G-Cloud must deliver value for money, security, and effective public services. Suppliers are not selected or excluded purely on the basis of nationality where they meet operational security and value for money obligations. The commercialisation of the sovereign AI fund to make the Government an early customer for strategically important UK start-ups is ongoing across technical, commercial and government leads to ensure that a robust, flexible, and scalable option is available.",74,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Lord Ranger of Northwood,Con,4989,"My Lords, perhaps I could highlight that the biggest challenge I see is not just initial funding. We welcome what the sovereign AI fund will do to provide compute and help commercialisation at a start-up moment for British AI companies, but the tragedy that we are seeing right now is losing those companies to international funders and overseas platforms. Once they reach a point for scaling, what will the fund or the Government do to help retain them, so they remain headquartered in the UK and continue to succeed commercially here?",91,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Baroness Lloyd of Effra,Lab,5414,"The noble Lord is right. Our ambition is to make the UK the best place to start, to scale and to stay. That is not just for the AI sovereign fund, important though that is, but for the ecosystem. That is why we are investing in public compute, so that firms here will be able to access it, why we have our ambition for UK procurement and why we are looking at measures such as AI growth zones: to make this country one of the most attractive, as we can see from the amount of foreign direct investment that is already coming into the UK.",105,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Baroness Berger,Lab,4036,"My Lords, France, Germany, South Korea, Switzerland, Singapore, Canada and Ukraine are all investing in their own sovereign AI models, for a variety of reasons, including data control, data protection and, most importantly, economic competitiveness. What consideration are the Government giving to using the sovereign AI fund to invest in the UK’s own sovereign AI model?",56,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Baroness Lloyd of Effra,Lab,5414,"As I mentioned just now, the sovereign AI fund is one of the components of how we think about UK strength. With it, we are looking at where we can have a UK strategic advantage. The five main priority areas that we have outlined are compute efficiency and sovereign architecture, next-generation AI labs and model development, AI for health and life sciences, AI for scientific discovery, and AI for trust, integrity and assurance.",73,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Lord Patel,CB,2443,"My Lords, I commend the Government for their sovereign AI development, particularly the Isambard-AI project at Bristol University, which has one of the world’s fastest processors. My question relates to parallel development. Do the Government still have a plan for the parallel development of the cloud, to assist in both digitisation and health research data for the NHS?",58,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Baroness Lloyd of Effra,Lab,5414,"I welcome the noble Lord’s welcome, as it were, for the developments happening here in the UK. It is true that the UK has a lot to offer. On cloud discussions and the provision of data, the National Data Library is advancing and we have gone through our period of discovery, with five areas of kick-starters, so we can provide UK public data to those who can benefit from it. Separately, we are using the sovereign AI fund to develop the domestic technology sector, so that it can provide one of the options for government procurement in the future.",99,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Lord Markham,Con,4948,"My Lords, the Competition and Markets Authority has expressed concerns that AI may entrench the market power of a small number of cloud providers. If the sovereign AI fund is not designed to increase the UK’s strategic authority in the cloud space, what are the Government’s plans to do so?",50,
03DAB621-BA42-4745-8502-CE79E68B92A7,Sovereign AI Fund,2026-06-01,,Baroness Lloyd of Effra,Lab,5414,"The noble Lord is right to refer to the independent Competition and Markets Authority. It has conducted a major, 22-month investigation into the cloud market and is now acting. It has announced a package of actions to strengthen competition in business software and cloud services. It will be launching a strategic market status designation investigation into Microsoft’s business software system in May that will allow the CMA to examine cloud licensing and actions from Microsoft and Amazon on improving cloud interoperability and reducing egress fees. In terms of the role the AI sovereign fund might play, it is at a relatively early stage of development. Infrastructure is one of its priority areas, and we will see what opportunities come in the near future.",123,
